date,feature1,feature2,feature3,Positive,Negative,Subjectivity,close,change
1499011200,56.77225955,-10.25300791,-15539179.13,158,43,9,55.54,0.47
1499184000,30.80967055,2.354205062,-6872224.627,85,66,6,55.285,0.19
1499270400,20.31275005,7.555040471,-2844077.127,62,145,10,54.925,0.28
1499356800,34.29145495,1.475202108,-8697248.627,59,97,7,54.67,-0.49
1499616000,34.75424484,3.22004871,-4104625.127,68,79,7,54.785,-0.77
1499702400,29.67690423,6.669270953,-388085.1271,104,91,7,55.465,-1.06
1499788800,7.521160114,14.44972439,-3463134.627,124,72,8,56.455,0.46
1499875200,-15.09370996,18.83096469,-8808805.127,74,87,6,56.78,-0.28
1499961600,-32.7317953,18.96962576,-12534797.13,127,54,7,56.68,-0.23
1500220800,-42.35706996,15.71885823,-9535693.127,62,39,6,56.955,1.74
1500307200,-42.01470134,8.858135053,-10512454.63,125,95,11,56.14,-0.44
1500393600,-43.47133064,4.072978517,-12516559.63,128,37,7,55.44,0.33
1500480000,-47.75119692,1.575298328,-10944866.63,60,90,6,55.5,-0.11
1500566400,-51.8248612,-0.49158488,-8340444.627,76,92,8,55.38,0.64
1500825600,-40.49631806,-7.948134676,-9020410.627,71,105,6,55.095,-0.42
1500912000,-27.18552793,-13.86431504,-11094590.13,77,94,6,54.98,0.7
1500998400,-22.65881801,-14.43499214,-11418071.13,50,100,7,54.83,0.12
1501084800,-20.68641591,-12.34079674,1065008.873,55,34,5,54.385,0.76
1501171200,-18.82590935,-10.16451257,11461089.87,89,65,7,53.91,-1.21
1501430400,-16.07278138,-10.14288697,3458163.373,70,40,5,54.155,0.16
1501516800,-27.86690103,-4.276102629,4667543.373,94,27,5,54.725,0.66
1501603200,-45.30928229,1.846241321,8641190.373,31,35,4,54.28,-0.9
1501689600,-52.03329805,0.849283098,2591741.873,112,12,7,54.41,0.21
1501776000,-48.90544718,-4.215960896,-4650249.127,34,45,5,54.785,-0.29
1502035200,-45.40210754,-8.091693914,-8871255.127,15,65,5,54.825,0.59
1502121600,-44.70770874,-9.508603809,-7721470.127,85,57,7,54.66,0.66
1502208000,-46.56119718,-9.480470242,-5407739.127,53,69,5,53.985,0.28
1502294400,-36.70883216,-13.81164177,-5471016.627,38,96,6,53.48,0.51
1502380800,-3.803444808,-24.79578244,-7231885.127,66,53,5,53.055,0.74
1502640000,14.49772133,-26.22991177,-9343819.127,31,8,2,52.53,-0.03
1502726400,25.40609541,-23.36617922,-8128067.627,22,179,8,52.295,-0.94
1502812800,46.38685723,-23.89923445,-6355796.127,55,95,5,52.82,1.57
1502899200,67.39939285,-23.24710804,-7446597.127,85,70,6,52.475,-1.02
1502985600,87.42094622,-21.3529257,-10337888.63,72,77,6,52.175,-0.29
1503244800,92.59767444,-12.92418564,-6853733.627,92,21,5,52.89,1.53
1503331200,94.10623131,-4.505849696,-1920542.127,72,53,5,52.215,-0.06
1503417600,94.57293404,1.777450531,-5343110.627,89,30,5,51.415,0.32
1503504000,89.31047866,8.207759754,-11241060.13,30,60,4,51.275,-0.39
1503590400,85.17950937,12.506301,-13701712.63,72,36,4,51.315,-0.63
1503849600,81.71772648,15.80800548,-10496220.63,94,38,5,51.875,-1.28
1503936000,75.035879,19.13911984,-9937801.127,56,34,5,52.915,0.06
1504022400,55.79844401,25.54067475,-11011735.63,67,89,6,53.575,1.05
1504108800,24.77723094,33.49686422,-10750183.63,65,15,5,52.97,0.5
1504195200,1.810990052,34.56193992,-13621701.13,108,52,6,52.13,-0.79
1504540800,-5.854486515,28.92940882,-12154790.13,50,30,3,52.29,1.49
1504627200,-17.85427794,26.37971268,-4527557.127,36,139,8,51.91,-0.16
1504713600,-26.7265563,21.98807064,-6029315.627,29,22,3,51.185,1.58
1504800000,-14.50440314,10.010465,-13005025.63,100,67,6,50.41,0.7
1505059200,-13.189638,5.970088595,-11134776.63,63,32,5,49.17,-1.46
1505145600,-27.02811975,8.427244727,-8507977.627,77,108,6,49.585,0.36
1505232000,-38.11521977,8.10664403,-10778303.13,82,88,10,50.185,0.22
1505318400,-45.17205497,5.824263515,-11435857.13,0,75,4,49.87,0.76
1505404800,-50.82100051,4.139377558,-2495819.627,58,29,5,49.335,-2.9
1505664000,-51.86273518,0.435322568,-1902018.627,52,38,4,50.5,2.28
1505750400,-50.90630194,-3.743166269,-6837683.127,79,53,5,50.84,-1.46
1505836800,-52.29712054,-5.545020344,-4505040.627,108,86,7,50.395,-1.18
1505923200,-52.00638747,-7.769917941,-4798399.627,32,100,8,51.835,2.86
1506009600,-52.36676144,-9.341075997,-5940720.127,110,20,6,50.92,-1.35
1506268800,-49.94958016,-11.46525581,-5809777.127,75,80,6,50.095,-0.67
1506355200,-48.3806705,-12.22171815,-1730469.627,63,71,6,51.195,0.01
1506441600,-48.20751656,-12.30067679,-330196.6271,46,38,3,51.555,0.66
1506528000,-50.1639499,-12.14850006,-4639660.627,71,65,6,51.19,-0.31
1506614400,-53.67158784,-11.5110951,-6021684.627,86,43,6,51,0.27
1506873600,-58.0239738,-9.989973972,2089851.873,90,45,6,51.025,-0.9
1506960000,-57.91729622,-10.53349501,7482280.373,85,50,8,51.37,0.07
1507046400,-52.15964509,-13.72008423,2969435.373,49,34,4,51.82,0.24
1507132800,-49.97653527,-15.18397281,-5176522.627,67,50,5,51.65,-0.61
1507219200,-50.19289731,-15.37915342,-9917166.627,70,30,5,51.855,1.33
1507478400,-52.8522619,-14.37531151,-9525265.127,67,45,5,51.465,-0.53
1507564800,-54.38432236,-13.59369905,-4024024.627,72,57,5,51.03,0.56
1507651200,-44.56960667,-16.71647476,2106289.373,35,35,4,51.015,0.88
1507737600,-25.5227438,-22.72062219,-3695247.127,113,38,6,50.23,0.71
1507824000,-15.48836314,-23.42528933,-10657918.13,60,50,4,49.365,1.05
1508083200,-19.61374991,-18.30456188,-13556822.63,93,93,8,48.41,-1.33
1508169600,-26.12189472,-13.69070809,-14205096.63,53,37,4,48.565,-0.57
1508256000,-36.63078404,-8.623855686,-9737387.127,39,67,4,49.6,0.73
1508342400,-41.98583396,-7.235542765,-7892443.627,85,32,5,49.51,1.27
1508428800,-45.17236012,-7.529032947,-9436884.627,134,78,10,48.42,1.77
